This test runs the WebGL Test listed below in an iframe and reports PASS or FAIL.

Test: ../../resources/webgl_test_files/conformance2/attribs/gl-vertex-attrib.html
[ 1: PASS ] context exists
[ 2: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 59: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 60: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 61: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 62: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 63: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 64: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 65: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 66: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 67: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 68: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 69: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 70: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 71: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 72: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 73: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 74: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 75: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 76: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 77: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 78: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 79: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 80: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 81: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 82: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 83: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 84: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 85: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 86: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 87: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 88: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 89: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 90: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 91: FAIL ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 92: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 93: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 94: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 95: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 96: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 97: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 98: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 99: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 100: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 101: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 102: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 103: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 104: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 105: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 106: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 107: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 108: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 109: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 110: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 111: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 112: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 113: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 114: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 115: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 116: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 117: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 118: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 119: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 120: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 121: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 122: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 123: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 124: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 125: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 126: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 127: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 128: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 129: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 130: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 131: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 132: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 133: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 134: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 135: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 136: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 137: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 138: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 139: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 140: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 141: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 142: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 143: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 144: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 145: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 146: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 147: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 148: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 149: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 150: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 151: PASS ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 152: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 153: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 154: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 155: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 156: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 157: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 158: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 159: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 160: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 161: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 162: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 163: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 164: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 165: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 166: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 167: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 168: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be 1. Was 6.
[ 169: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 170: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be -1. Was 8.
[ 171: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 172: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 173: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 174: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 1. Was 7.
[ 175: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be 2. Was 8.
[ 176: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 177: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 178: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
[ 179: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[1] should be 2. Was 7.
[ 180: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 181: FAIL ] gl.getVertexAttrib(1, gl.CURRENT_VERTEX_ATTRIB)[3] should be 3. Was 9.
[ 182: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 183: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 184: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 185: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 186: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 187: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 188: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 189: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 190: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 191: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 192: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 193: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 194: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 195: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 196: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 197: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 198: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 199: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 200: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 201: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 202: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 203: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 204: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 205: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 206: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 207: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 208: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 209: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 210: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 211: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 212: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 213: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 214: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 215: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 216: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 217: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 218: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 219: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 220: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 221: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 222: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 223: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 224: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 225: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 226: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 227: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 228: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 229: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 230: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 231: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 232: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 233: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 234: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 235: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 236: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 237: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 238: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 239: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 240: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] is 8
[ 241: PASS ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] is 9
[ 242: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Int32Array
[ 243: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be -1. Was 6.
[ 244: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[1] should be 0. Was 7.
[ 245: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[2] should be 1. Was 8.
[ 246: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[3] should be 2. Was 9.
[ 247: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB) is not an instance of Uint32Array
[ 248: FAIL ] gl.getVertexAttrib(2, gl.CURRENT_VERTEX_ATTRIB)[0] should be 0. Was 6.
