offsetTop:0.00 offsetLeft:0.00 offsetWidth:0.09 offsetHeight:0.09
offsetTop:28.39 offsetLeft:96.39 offsetWidth:7.55 offsetHeight:7.55
clientTop:0.13 clientLeft:0.13 clientWidth:7.30 clientHeight:7.30
offsetTop:29.19 offsetLeft:105.09 offsetWidth:7.64 offsetHeight:7.64
clientTop:0.13 clientLeft:0.13 clientWidth:7.39 clientHeight:7.39
offsetTop:30.00 offsetLeft:114.00 offsetWidth:7.75 offsetHeight:7.75
clientTop:0.13 clientLeft:0.13 clientWidth:7.50 clientHeight:7.50
offsetTop:30.80 offsetLeft:123.09 offsetWidth:7.84 offsetHeight:7.84
clientTop:0.13 clientLeft:0.13 clientWidth:7.59 clientHeight:7.59
offsetTop:31.59 offsetLeft:132.39 offsetWidth:7.94 offsetHeight:7.94
clientTop:0.13 clientLeft:0.13 clientWidth:7.69 clientHeight:7.69
offsetTop:32.39 offsetLeft:141.89 offsetWidth:8.05 offsetHeight:8.05
clientTop:0.13 clientLeft:0.13 clientWidth:7.80 clientHeight:7.80
offsetTop:33.19 offsetLeft:151.59 offsetWidth:8.14 offsetHeight:8.14
clientTop:0.13 clientLeft:0.13 clientWidth:7.89 clientHeight:7.89
offsetTop:32.00 offsetLeft:2.39 offsetWidth:8.28 offsetHeight:8.28
clientTop:0.14 clientLeft:0.14 clientWidth:8.00 clientHeight:8.00
offsetTop:33.00 offsetLeft:10.50 offsetWidth:8.38 offsetHeight:8.38
clientTop:0.14 clientLeft:0.14 clientWidth:8.09 clientHeight:8.09
offsetTop:34.00 offsetLeft:18.80 offsetWidth:8.47 offsetHeight:8.47
clientTop:0.14 clientLeft:0.14 clientWidth:8.19 clientHeight:8.19
offsetTop:35.00 offsetLeft:27.30 offsetWidth:8.58 offsetHeight:8.58
clientTop:0.14 clientLeft:0.14 clientWidth:8.30 clientHeight:8.30
offsetTop:36.00 offsetLeft:36.00 offsetWidth:8.67 offsetHeight:8.67
clientTop:0.14 clientLeft:0.14 clientWidth:8.39 clientHeight:8.39
offsetTop:37.00 offsetLeft:44.89 offsetWidth:8.78 offsetHeight:8.78
clientTop:0.14 clientLeft:0.14 clientWidth:8.50 clientHeight:8.50
offsetTop:38.00 offsetLeft:54.00 offsetWidth:8.88 offsetHeight:8.88
clientTop:0.14 clientLeft:0.14 clientWidth:8.59 clientHeight:8.59
offsetTop:39.00 offsetLeft:63.30 offsetWidth:8.97 offsetHeight:8.97
clientTop:0.14 clientLeft:0.14 clientWidth:8.69 clientHeight:8.69
offsetTop:40.00 offsetLeft:72.80 offsetWidth:9.08 offsetHeight:9.08
clientTop:0.14 clientLeft:0.14 clientWidth:8.80 clientHeight:8.80
offsetTop:41.00 offsetLeft:82.50 offsetWidth:9.17 offsetHeight:9.17
clientTop:0.14 clientLeft:0.14 clientWidth:8.89 clientHeight:8.89
offsetTop:42.00 offsetLeft:92.39 offsetWidth:9.28 offsetHeight:9.28
clientTop:0.14 clientLeft:0.14 clientWidth:9.00 clientHeight:9.00
offsetTop:43.00 offsetLeft:102.50 offsetWidth:9.38 offsetHeight:9.38
clientTop:0.14 clientLeft:0.14 clientWidth:9.09 clientHeight:9.09
offsetTop:44.00 offsetLeft:112.80 offsetWidth:9.47 offsetHeight:9.47
clientTop:0.14 clientLeft:0.14 clientWidth:9.19 clientHeight:9.19
offsetTop:45.00 offsetLeft:123.30 offsetWidth:9.58 offsetHeight:9.58
clientTop:0.14 clientLeft:0.14 clientWidth:9.30 clientHeight:9.30
offsetTop:46.00 offsetLeft:134.00 offsetWidth:9.67 offsetHeight:9.67
clientTop:0.14 clientLeft:0.14 clientWidth:9.39 clientHeight:9.39
offsetTop:47.00 offsetLeft:144.89 offsetWidth:9.78 offsetHeight:9.78
clientTop:0.14 clientLeft:0.14 clientWidth:9.50 clientHeight:9.50
offsetTop:48.00 offsetLeft:156.00 offsetWidth:9.88 offsetHeight:9.88
clientTop:0.14 clientLeft:0.14 clientWidth:9.59 clientHeight:9.59
offsetTop:49.00 offsetLeft:167.30 offsetWidth:9.97 offsetHeight:9.97
clientTop:0.14 clientLeft:0.14 clientWidth:9.69 clientHeight:9.69
offsetTop:50.00 offsetLeft:178.80 offsetWidth:10.08 offsetHeight:10.08
clientTop:0.14 clientLeft:0.14 clientWidth:9.80 clientHeight:9.80
offsetTop:51.00 offsetLeft:190.50 offsetWidth:10.17 offsetHeight:10.17
clientTop:0.14 clientLeft:0.14 clientWidth:9.89 clientHeight:9.89
offsetTop:50.00 offsetLeft:3.50 offsetWidth:10.34 offsetHeight:10.34
clientTop:0.17 clientLeft:0.17 clientWidth:10.00 clientHeight:10.00
offsetTop:51.19 offsetLeft:13.59 offsetWidth:10.44 offsetHeight:10.44
clientTop:0.17 clientLeft:0.17 clientWidth:10.09 clientHeight:10.09
offsetTop:52.39 offsetLeft:23.89 offsetWidth:10.53 offsetHeight:10.53
clientTop:0.17 clientLeft:0.17 clientWidth:10.19 clientHeight:10.19
offsetTop:53.59 offsetLeft:34.39 offsetWidth:10.64 offsetHeight:10.64
clientTop:0.17 clientLeft:0.17 clientWidth:10.30 clientHeight:10.30
offsetTop:54.80 offsetLeft:45.09 offsetWidth:10.73 offsetHeight:10.73
clientTop:0.17 clientLeft:0.17 clientWidth:10.39 clientHeight:10.39
offsetTop:56.00 offsetLeft:56.00 offsetWidth:10.84 offsetHeight:10.84
clientTop:0.17 clientLeft:0.17 clientWidth:10.50 clientHeight:10.50
offsetTop:57.19 offsetLeft:67.09 offsetWidth:10.94 offsetHeight:10.94
clientTop:0.17 clientLeft:0.17 clientWidth:10.59 clientHeight:10.59
offsetTop:58.39 offsetLeft:78.39 offsetWidth:11.03 offsetHeight:11.03
clientTop:0.17 clientLeft:0.17 clientWidth:10.69 clientHeight:10.69
offsetTop:59.59 offsetLeft:89.89 offsetWidth:11.14 offsetHeight:11.14
clientTop:0.17 clientLeft:0.17 clientWidth:10.80 clientHeight:10.80
offsetTop:60.80 offsetLeft:101.59 offsetWidth:11.23 offsetHeight:11.23
clientTop:0.17 clientLeft:0.17 clientWidth:10.89 clientHeight:10.89
offsetTop:62.00 offsetLeft:113.50 offsetWidth:11.34 offsetHeight:11.34
clientTop:0.17 clientLeft:0.17 clientWidth:11.00 clientHeight:11.00
offsetTop:63.19 offsetLeft:125.59 offsetWidth:11.44 offsetHeight:11.44
clientTop:0.17 clientLeft:0.17 clientWidth:11.09 clientHeight:11.09
offsetTop:64.39 offsetLeft:137.89 offsetWidth:11.53 offsetHeight:11.53
clientTop:0.17 clientLeft:0.17 clientWidth:11.19 clientHeight:11.19
offsetTop:65.59 offsetLeft:150.39 offsetWidth:11.64 offsetHeight:11.64
clientTop:0.17 clientLeft:0.17 clientWidth:11.30 clientHeight:11.30
offsetTop:66.80 offsetLeft:163.09 offsetWidth:11.73 offsetHeight:11.73
clientTop:0.17 clientLeft:0.17 clientWidth:11.39 clientHeight:11.39
offsetTop:68.00 offsetLeft:176.00 offsetWidth:11.84 offsetHeight:11.84
clientTop:0.17 clientLeft:0.17 clientWidth:11.50 clientHeight:11.50
offsetTop:69.19 offsetLeft:189.09 offsetWidth:11.94 offsetHeight:11.94
clientTop:0.17 clientLeft:0.17 clientWidth:11.59 clientHeight:11.59
offsetTop:70.39 offsetLeft:202.39 offsetWidth:12.03 offsetHeight:12.03
clientTop:0.17 clientLeft:0.17 clientWidth:11.69 clientHeight:11.69
offsetTop:71.59 offsetLeft:215.89 offsetWidth:12.14 offsetHeight:12.14
clientTop:0.17 clientLeft:0.17 clientWidth:11.80 clientHeight:11.80
offsetTop:72.80 offsetLeft:229.59 offsetWidth:12.23 offsetHeight:12.23
clientTop:0.17 clientLeft:0.17 clientWidth:11.89 clientHeight:11.89
offsetTop:72.00 offsetLeft:4.80 offsetWidth:12.38 offsetHeight:12.38
clientTop:0.19 clientLeft:0.19 clientWidth:12.00 clientHeight:12.00
offsetTop:73.39 offsetLeft:16.89 offsetWidth:12.47 offsetHeight:12.47
clientTop:0.19 clientLeft:0.19 clientWidth:12.09 clientHeight:12.09
offsetTop:74.80 offsetLeft:29.19 offsetWidth:12.56 offsetHeight:12.56
clientTop:0.19 clientLeft:0.19 clientWidth:12.19 clientHeight:12.19
offsetTop:76.19 offsetLeft:41.69 offsetWidth:12.67 offsetHeight:12.67
clientTop:0.19 clientLeft:0.19 clientWidth:12.30 clientHeight:12.30
offsetTop:77.59 offsetLeft:54.39 offsetWidth:12.77 offsetHeight:12.77
clientTop:0.19 clientLeft:0.19 clientWidth:12.39 clientHeight:12.39
offsetTop:79.00 offsetLeft:67.30 offsetWidth:12.88 offsetHeight:12.88
clientTop:0.19 clientLeft:0.19 clientWidth:12.50 clientHeight:12.50
offsetTop:80.39 offsetLeft:80.39 offsetWidth:12.97 offsetHeight:12.97
clientTop:0.19 clientLeft:0.19 clientWidth:12.59 clientHeight:12.59
offsetTop:81.80 offsetLeft:93.69 offsetWidth:13.06 offsetHeight:13.06
clientTop:0.19 clientLeft:0.19 clientWidth:12.69 clientHeight:12.69
offsetTop:83.19 offsetLeft:107.19 offsetWidth:13.17 offsetHeight:13.17
clientTop:0.19 clientLeft:0.19 clientWidth:12.80 clientHeight:12.80
offsetTop:84.59 offsetLeft:120.89 offsetWidth:13.27 offsetHeight:13.27
clientTop:0.19 clientLeft:0.19 clientWidth:12.89 clientHeight:12.89
offsetTop:86.00 offsetLeft:134.80 offsetWidth:13.38 offsetHeight:13.38
clientTop:0.19 clientLeft:0.19 clientWidth:13.00 clientHeight:13.00
offsetTop:87.39 offsetLeft:148.89 offsetWidth:13.47 offsetHeight:13.47
clientTop:0.19 clientLeft:0.19 clientWidth:13.09 clientHeight:13.09
offsetTop:88.80 offsetLeft:163.19 offsetWidth:13.56 offsetHeight:13.56
clientTop:0.19 clientLeft:0.19 clientWidth:13.19 clientHeight:13.19
offsetTop:90.19 offsetLeft:177.69 offsetWidth:13.67 offsetHeight:13.67
clientTop:0.19 clientLeft:0.19 clientWidth:13.30 clientHeight:13.30
offsetTop:91.59 offsetLeft:192.39 offsetWidth:13.77 offsetHeight:13.77
clientTop:0.19 clientLeft:0.19 clientWidth:13.39 clientHeight:13.39
offsetTop:93.00 offsetLeft:207.30 offsetWidth:13.88 offsetHeight:13.88
clientTop:0.19 clientLeft:0.19 clientWidth:13.50 clientHeight:13.50
offsetTop:94.39 offsetLeft:222.39 offsetWidth:13.97 offsetHeight:13.97
clientTop:0.19 clientLeft:0.19 clientWidth:13.59 clientHeight:13.59
offsetTop:95.80 offsetLeft:237.69 offsetWidth:14.06 offsetHeight:14.06
clientTop:0.19 clientLeft:0.19 clientWidth:13.69 clientHeight:13.69
offsetTop:97.19 offsetLeft:253.19 offsetWidth:14.17 offsetHeight:14.17
clientTop:0.19 clientLeft:0.19 clientWidth:13.80 clientHeight:13.80
offsetTop:98.59 offsetLeft:268.89 offsetWidth:14.27 offsetHeight:14.27
clientTop:0.19 clientLeft:0.19 clientWidth:13.89 clientHeight:13.89
offsetTop:98.00 offsetLeft:6.30 offsetWidth:14.44 offsetHeight:14.44
clientTop:0.22 clientLeft:0.22 clientWidth:14.00 clientHeight:14.00
offsetTop:99.59 offsetLeft:20.39 offsetWidth:14.53 offsetHeight:14.53
clientTop:0.22 clientLeft:0.22 clientWidth:14.09 clientHeight:14.09
offsetTop:101.19 offsetLeft:34.69 offsetWidth:14.63 offsetHeight:14.63
clientTop:0.22 clientLeft:0.22 clientWidth:14.19 clientHeight:14.19
offsetTop:102.80 offsetLeft:49.19 offsetWidth:14.73 offsetHeight:14.73
clientTop:0.22 clientLeft:0.22 clientWidth:14.30 clientHeight:14.30
offsetTop:104.39 offsetLeft:63.89 offsetWidth:14.83 offsetHeight:14.83
clientTop:0.22 clientLeft:0.22 clientWidth:14.39 clientHeight:14.39
offsetTop:106.00 offsetLeft:78.80 offsetWidth:14.94 offsetHeight:14.94
clientTop:0.22 clientLeft:0.22 clientWidth:14.50 clientHeight:14.50
offsetTop:107.59 offsetLeft:93.89 offsetWidth:15.03 offsetHeight:15.03
clientTop:0.22 clientLeft:0.22 clientWidth:14.59 clientHeight:14.59
offsetTop:109.19 offsetLeft:109.19 offsetWidth:15.13 offsetHeight:15.13
clientTop:0.22 clientLeft:0.22 clientWidth:14.69 clientHeight:14.69
offsetTop:110.80 offsetLeft:124.69 offsetWidth:15.23 offsetHeight:15.23
clientTop:0.22 clientLeft:0.22 clientWidth:14.80 clientHeight:14.80
offsetTop:112.39 offsetLeft:140.39 offsetWidth:15.33 offsetHeight:15.33
clientTop:0.22 clientLeft:0.22 clientWidth:14.89 clientHeight:14.89
offsetTop:114.00 offsetLeft:156.30 offsetWidth:15.44 offsetHeight:15.44
clientTop:0.22 clientLeft:0.22 clientWidth:15.00 clientHeight:15.00
offsetTop:115.59 offsetLeft:172.39 offsetWidth:15.53 offsetHeight:15.53
clientTop:0.22 clientLeft:0.22 clientWidth:15.09 clientHeight:15.09
offsetTop:117.19 offsetLeft:188.69 offsetWidth:15.63 offsetHeight:15.63
clientTop:0.22 clientLeft:0.22 clientWidth:15.19 clientHeight:15.19
offsetTop:118.80 offsetLeft:205.19 offsetWidth:15.73 offsetHeight:15.73
clientTop:0.22 clientLeft:0.22 clientWidth:15.30 clientHeight:15.30
offsetTop:120.39 offsetLeft:221.89 offsetWidth:15.83 offsetHeight:15.83
clientTop:0.22 clientLeft:0.22 clientWidth:15.39 clientHeight:15.39
offsetTop:122.00 offsetLeft:238.80 offsetWidth:15.94 offsetHeight:15.94
clientTop:0.22 clientLeft:0.22 clientWidth:15.50 clientHeight:15.50
offsetTop:123.59 offsetLeft:255.89 offsetWidth:16.03 offsetHeight:16.03
clientTop:0.22 clientLeft:0.22 clientWidth:15.59 clientHeight:15.59
offsetTop:125.19 offsetLeft:273.19 offsetWidth:16.13 offsetHeight:16.13
clientTop:0.22 clientLeft:0.22 clientWidth:15.69 clientHeight:15.69
offsetTop:126.80 offsetLeft:290.69 offsetWidth:16.23 offsetHeight:16.23
clientTop:0.22 clientLeft:0.22 clientWidth:15.80 clientHeight:15.80
offsetTop:128.39 offsetLeft:308.39 offsetWidth:16.33 offsetHeight:16.33
clientTop:0.22 clientLeft:0.22 clientWidth:15.89 clientHeight:15.89
offsetTop:128.00 offsetLeft:8.00 offsetWidth:16.50 offsetHeight:16.50
clientTop:0.25 clientLeft:0.25 clientWidth:16.00 clientHeight:16.00
offsetTop:129.80 offsetLeft:24.09 offsetWidth:16.59 offsetHeight:16.59
clientTop:0.25 clientLeft:0.25 clientWidth:16.09 clientHeight:16.09
offsetTop:131.59 offsetLeft:40.39 offsetWidth:16.69 offsetHeight:16.69
clientTop:0.25 clientLeft:0.25 clientWidth:16.19 clientHeight:16.19
offsetTop:133.39 offsetLeft:56.89 offsetWidth:16.80 offsetHeight:16.80
clientTop:0.25 clientLeft:0.25 clientWidth:16.30 clientHeight:16.30
offsetTop:135.19 offsetLeft:73.59 offsetWidth:16.89 offsetHeight:16.89
clientTop:0.25 clientLeft:0.25 clientWidth:16.39 clientHeight:16.39
offsetTop:137.00 offsetLeft:90.50 offsetWidth:17.00 offsetHeight:17.00
clientTop:0.25 clientLeft:0.25 clientWidth:16.50 clientHeight:16.50
offsetTop:138.80 offsetLeft:107.59 offsetWidth:17.09 offsetHeight:17.09
clientTop:0.25 clientLeft:0.25 clientWidth:16.59 clientHeight:16.59
offsetTop:140.59 offsetLeft:124.89 offsetWidth:17.19 offsetHeight:17.19
clientTop:0.25 clientLeft:0.25 clientWidth:16.69 clientHeight:16.69
offsetTop:142.39 offsetLeft:142.39 offsetWidth:17.30 offsetHeight:17.30
clientTop:0.25 clientLeft:0.25 clientWidth:16.80 clientHeight:16.80
offsetTop:144.19 offsetLeft:160.09 offsetWidth:17.39 offsetHeight:17.39
clientTop:0.25 clientLeft:0.25 clientWidth:16.89 clientHeight:16.89
